CUBE_ID,TABLE_ID
EBA_FINREP_EBA_F_12.01.b_FINREP_2017-A,EBA_FINREP_EBA_F_12.01.b_FINREP_2017-A
EBA_FINREP_EBA_F_06.01_FINREP_2017-A,EBA_FINREP_EBA_F_06.01_FINREP_2017-A
EBA_FINREP_EBA_F_05.01_FINREP_2017-A,EBA_FINREP_EBA_F_05.01_FINREP_2017-A
EBA_FINREP_EBA_F_15.00.a_FINREP_2017-A,EBA_FINREP_EBA_F_15.00.a_FINREP_2017-A
EBA_FINREP_EBA_F_18.00.a_FINREP_2017-A,EBA_FINREP_EBA_F_18.00.a_FINREP_2017-A
EBA_FINREP_EBA_F_18.00.b_FINREP_2017-A,EBA_FINREP_EBA_F_18.00.b_FINREP_2017-A
EBA_FINREP_EBA_F_18.00.c_FINREP_2017-A,EBA_FINREP_EBA_F_18.00.c_FINREP_2017-A
EBA_FINREP_EBA_F_19.00.a_FINREP_2017-A,EBA_FINREP_EBA_F_19.00.a_FINREP_2017-A
EBA_FINREP_EBA_F_19.00.b_FINREP_2017-A,EBA_FINREP_EBA_F_19.00.b_FINREP_2017-A
EBA_FINREP_EBA_F_19.00.c_FINREP_2017-A,EBA_FINREP_EBA_F_19.00.c_FINREP_2017-A
EBA_FINREP_EBA_F_19.00.d_FINREP_2017-A,EBA_FINREP_EBA_F_19.00.d_FINREP_2017-A
EBA_FINREP_EBA_F_20.01_FINREP_2017-A,EBA_FINREP_EBA_F_20.01_FINREP_2017-A
EBA_FINREP_EBA_F_31.01_FINREP_2017-A,EBA_FINREP_EBA_F_31.01_FINREP_2017-A
EBA_FINREP_EBA_F_31.02_FINREP_2017-A,EBA_FINREP_EBA_F_31.02_FINREP_2017-A
EBA_FINREP_EBA_F_40.01_FINREP_2017-A,EBA_FINREP_EBA_F_40.01_FINREP_2017-A
EBA_FINREP_EBA_F_43.00_FINREP_2017-A,EBA_FINREP_EBA_F_43.00_FINREP_2017-A
